No.,Article,ID,Supplier,Category,Purchases €,Units,Purchases Year Before €,Units Year Before,YoY Comparison
1,RUBBER UNGER *45 CMS,RR450,Unger,Cleaning utensils,€117.72,109,€109.18,103,"+7,82%"
2,SCRAPER RETRACTILED UNGER,SR20K,Unger,Cleaning utensils,€149.46,94,€132.60,85,"+12,71%"
3,CHANNEL AND RUBBER UNGER STAINLESS STEEL.*45CM,NE450,Unger,Cleaning utensils,€170.00,50,€160.80,48,"+5,72%"
4,TOILET PAPER INDUSTRIAL TORK SMARTONE 2P 207M/1150S,472242,Essity,Cellulose,€243.47,97,€202.54,82,"+20,21%"
5,HAND POLE SQUEEGEE STAINLESS STEEL UNGER,PR000,Unger,Cleaning utensils,€264.00,75,€253.31,73,"+4,22%"
6,"SCOURER INOX SCOTCH BRITE 40 GR, PACK 12 UD",MET40,3M,Cleaning utensils,€260.76,53,€257.05,53,"+1,44%"
7,DISHWASHER AUTOMATIC 25 KG,E-120,Induquim,Chemicals,€434.00,31,€413.70,30,"+4,91%"
8,TOILET PAPER INDUSTRIAL TORK SMARTONE MINI 2L 111M/620S,472193,Essity,Cellulose,€664.02,434,€605.51,401,"+9,66%"
9,"TOILET PAPER HOUSE TORK 2P 38M/322S, BUNDLE 42 ROLLOS",605488,Essity,Cellulose,€771.21,99,€705.64,92,"+9,29%"
10,"MOP MICROFIBRE/COTTON MICROCOTT VILEDA,SPARE",152640,Vileda,Cleaning utensils,€809.60,440,€727.62,402,"+11,27%"
11,"STAIN CLEANER INOX 3M, SPRAY 670 ML",INOXSPR,3M,Chemicals,€924.00,165,€745.20,135,"+23,99%"
12,HAND DRYING ROLL TORK 2L 175M/500S BL,605486,Essity,Cellulose,€861.10,395,€752.50,350,"+14,43%"
13,ROLL INDUSTRIAL TORK AIR LAID 1P 117M/350S,473382,Essity,Cellulose,€810.12,86,€788.80,85,"+2,70%"
14,TOILET PAPER HOUSE KLEENEX ULTRA KIMBERLY 1 PLY 25M. RECICLED 48 ROLLS,8443,Kimberly-Clark,Cellulose,€820.76,71,€797.30,70,"+2,94%"
15,"DETERGENT DESINFECTANT SUMA CHLORSAN D10.4, CONT 20 L",100948724,Diversey,Chemicals,€967.20,40,€833.70,35,"+16,01%"
16,"SCOURER BLACK SCOTCH BRITE, PACK 10 UD",76N,3M,Cleaning utensils,"€1,032.24",132,€916.30,119,"+12,65%"
17,RUST REMOVER 4x5kgs.,H-370,Induquim,Chemicals,€988.00,38,€947.94,37,"+4,23%"
18,TOILET PAPER IND. 2 PLY 200,8524,Kimberly-Clark,Cellulose,"€1,094.46",74,"€1,034.47",71,"+5,80%"
19,"SCOURER BATH SCOTCH BRITE, ROLL 10 M",9010158,3M,Cleaning utensils,"€1,209.60",54,"€1,037.29",47,"+16,61%"
20,KLEENEX ULTRA TOILET PAPER FOLDED,8408,Kimberly-Clark,Cellulose,"€1,069.32",38,"€1,053.36",38,"+1,52%"
21,"SCOURER SCOTCH BRITE, ROLL 6 M",966134,3M,Cleaning utensils,"€1,533.89",157,"€1,260.22",131,"+21,72%"
22,"DISHWASHER CONCENTRATED SUMA ULTRA L2, CONT 20 L",7010074,Diversey,Chemicals,"€1,217.88",34,"€1,305.73",37,"-6,73%"
23,CLAX MILD 3RL1 20L WE17,6973291,Diversey,Chemicals,"€1,633.60",20,"€1,448.46",18,"+12,78%"
24,AIRMATIC NATUR AIR FRESEHSENER SOFT,H9501125,Induquim,Chemicals,"€1,690.04",167,"€1,495.50",150,"+13,01%"
25,SCOURERE GREEN SCOTCH-BRITE 96 UNITS,RN000992131,3M,Cleaning utensils,"€1,712.88",156,"€1,525.62",141,"+12,27%"
26,"MOP VILEDA, RECAMBIO",138519,Vileda,Cleaning utensils,"€1,735.28",1.592,"€1,551.50",1.450,"+11,85%"
27,HAND DRYING ROLL AIRFLEX 1PLY  266,7266,Kimberly-Clark,Cellulose,"€1,476.51",89,"€1,568.64",96,"-5,87%"
28,"SCOURER BLUE SCOTCH BRITE 158X95, PACK 10 UD",245,3M,Cleaning utensils,"€2,254.35",339,"€2,069.80",316,"+8,92%"
29,GLOVE NITRILE BLUE ND NITRIFLEX S 100 U,GD20P,Santex 2000,Cleaning utensils,"€2,407.20",1.020,"€2,094.96",903,"+14,90%"
